group,mz,cluster,r2
ctrl1,672.46874873485,13,0.9549122684624278
ctrl1,672.46874873485,14,0.9832437768036556
ctrl1,672.46874873485,15,0.966296940544202
ctrl1,672.46874873485,16,0.9915545584473208
ctrl1,672.46874873485,17,0.9838661930068534
ctrl1,672.46874873485,18,0.979922487261253
ctrl1,672.46874873485,19,0.97648282832492
ctrl2,672.46874873485,0,0.9638153515000194
ctrl2,672.46874873485,1,0.9877878644582806
ctrl2,672.46874873485,2,0.9725254303360686
ctrl2,672.46874873485,3,0.9314263154223156
ctrl2,672.46874873485,4,0.9790438068843276
ctrl2,672.46874873485,5,0.9160563182748356
ctrl2,672.46874873485,6,0.9825482534097342
ctrl2,672.46874873485,7,0.9854135996158374
ctrl2,672.46874873485,8,0.9336010063378998
ctrl2,672.46874873485,9,0.9720479897701644
ctrl2,672.46874873485,10,0.9926672227506302
ctrl2,672.46874873485,11,0.942155556485158
ctrl2,672.46874873485,12,0.9798042128762062
ctrl2,672.46874873485,13,0.9728673081692296
ctrl2,672.46874873485,14,0.9714257436193192
ctrl2,672.46874873485,15,0.966967706205078
ctrl2,672.46874873485,16,0.9463378093918468
ctrl2,672.46874873485,17,0.9898308789360712
ctrl2,672.46874873485,18,0.965076008915248
ctrl2,672.46874873485,19,0.9738689365629865
ctrl3,672.46874873485,0,0.9926579237779056
ctrl3,672.46874873485,1,0.9937153435436306
ctrl3,672.46874873485,2,0.9785243872926178
ctrl3,672.46874873485,3,0.9826512094816114
ctrl3,672.46874873485,4,0.979242339922393
ctrl3,672.46874873485,5,0.9757015448522892
ctrl3,672.46874873485,6,0.9786112139855916
ctrl3,672.46874873485,7,0.991382928672165
ctrl3,672.46874873485,8,0.9772680989812488
ctrl3,672.46874873485,9,0.9926225637198104
ctrl3,672.46874873485,10,0.9767628300570584
ctrl3,672.46874873485,11,0.9733877197713172
ctrl3,672.46874873485,12,0.9697397081697692
ctrl3,672.46874873485,13,0.98945607647831
ctrl3,672.46874873485,14,0.9899272273355026
ctrl3,672.46874873485,15,0.9850409801912228
ctrl3,672.46874873485,16,0.9954907245202028
ctrl3,672.46874873485,17,0.987831080670968
ctrl3,672.46874873485,18,0.9911363170799148
ctrl3,672.46874873485,19,0.9818254616952596
dn1,672.46874873485,0,0.9816150352660318
