group,mz_key_2dec_trunc,mz,min_r2,max_r2
ctrl3,198.91,198.91682025811,0.923663927835186,0.9976550266836656
ctrl3,199.07,199.07203576283,0.9157643384667412,0.981900224157578
ctrl3,207.11,207.11345024356,0.9213425806176788,0.9880581769200936
ctrl3,213.01,213.01587349128,0.9146482040388036,0.9719492021138346
ctrl3,221.15,221.15341633646,0.950984190713988,0.9939759174805102
ctrl3,223.02,223.02673330558,0.9391154756991468,0.9969745010982004
ctrl3,223.07,223.07245843096,0.917193167017622,0.9836220134657778
ctrl3,224.0,224.00797201485,0.9042876756969588,0.9826335056522932
ctrl3,231.02,231.02746798817,0.9630084052295054,0.9993890530202996
ctrl3,233.05,233.05899163994,0.9189442394920804,0.9851389056557548
ctrl3,235.16,235.16951542118,0.929770590592043,0.997805175999504
ctrl3,237.08,237.0880494781,0.910895493553834,0.9912286792320836
ctrl3,241.21,241.21691072898,0.9051678255676224,0.9761756402227626
ctrl3,248.07,248.07014470253,0.9634179294388472,0.9985038150787068
ctrl3,249.18,249.18523701198,0.924816240660604,0.9900152592059496
ctrl3,251.2,251.20052794973,0.9347952689348884,0.9944328689834148
ctrl3,253.21,253.21692413866,0.9496984650000028,0.9963032002828304
ctrl3,254.07,254.07805575619,0.9082674650873068,0.9799051113826788
ctrl3,254.22,254.22037918472,0.9523697212009538,0.9942355214212988
ctrl3,260.07,260.07017663261,0.9067999205259318,0.9885938124468688
ctrl3,260.86,260.86068789328,0.9229428826696692,0.9993617930774812
ctrl3,263.2,263.20060388181,0.9286322778415772,0.9964352635932788
ctrl3,265.21,265.21650353197,0.9016274762874636,0.9880843964434448
ctrl3,267.23,267.23180893663,0.9461467278128554,0.993169931687345
ctrl3,272.08,272.08825038207,0.9402986739799156,0.9842136355392204
ctrl3,275.2,275.20092114985,0.9586427033935208,0.9988825858270984
ctrl3,277.21,277.21585055514,0.986973161358806,0.9993534671325518
ctrl3,278.21,278.21979848376,0.9852124095731162,0.9995671563031824
ctrl3,279.23,279.23157068698,0.9268201943240502,0.992595113836306
ctrl3,280.23,280.23581264753,0.9238697791817584,0.9945146571616518
ctrl3,281.24,281.24788499536,0.9000428276455839,0.9898626707155148
ctrl3,292.07,292.07230722706,0.935704935167636,0.9925609544359651
ctrl3,294.84,294.84841903253,0.9732031829897196,0.9937163979013688
ctrl3,304.06,304.06039897009,0.9215129699891996,0.9755931876310028
ctrl3,324.28,324.28939250243,0.950354767924838,0.9961505331989812
ctrl3,337.03,337.03988240852,0.922841251807528,0.98750664254626
ctrl3,389.2,389.2088689905,0.911234358366326,0.9941099016687148
ctrl3,393.23,393.23843330537,0.978829427849436,0.9953279372432652
ctrl3,394.24,394.24246999923,0.959912624889646,0.993743725318922
ctrl3,415.22,415.22314682526,0.912899555777244,0.9977166059762218
ctrl3,416.22,416.22920276165,0.9380812878602932,0.9936126412664824
